title,address,advertiser,link,terrace,m2,rooms,price
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-859266849/,"Balkon, Garten",88.0,3.0,1408.1
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-2123758600/,"Balkon, Garten",88.0,3.0,1311.4
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-1589817277/,"Balkon, Garten",80.0,3.0,1187.06
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-949746248/,"Balkon, Garten",81.0,3.0,1228.51
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-1485048364/,"Balkon, Loggia, Garten",54.0,2.0,896.96
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-2072911537/,"Balkon, Garten",81.0,3.0,1200.89
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-1683116587/,"Balkon, Garten",63.0,2.0,938.4
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-1683116587/,"Balkon, Garten",63.0,2.0,938.4
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-2006780159/,"Terrasse, Garten",61.0,2.0,1021.29
"Bestlage im 5. Bezirk, 3 Zi mit Ausblick, gute Anbindung, zahlreiche Lokale & Einkaufsmöglichkeiten","1050 Wien, 05. Bezirk, Margareten, Margaretenstraße 88-90",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/bestlage-im-5-bezirk-3-zi-mit-ausblick-gute-anbindung-zahlreiche-lokale-einkaufsmoeglichkeiten-1403113387/,Balkon,79.0,3.0,1510.0
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-1073358420/,"Balkon, Garten",75.0,3.0,1173.25
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-1516655305/,"Balkon, Loggia, Garten",58.0,2.0,883.15
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-1077233457/,"Balkon, Garten",99.0,4.0,1490.98
"Gretls Garten - jetzt mieten, später zum Fixpreis kaufen","1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3","BWS Gemeinnützige allgemeine Bau-, Wohn- und Siedlungsgenossenschaft regGenmbH",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-jetzt-mieten-spaeter-zum-fixpreis-kaufen-1859118717/,"Terrasse, Garten",62.0,2.0,1035.11
DANUBEVIEW - Familientraum mit hochwertiger Ausstattung,"1220 Wien, 22. Bezirk, Donaustadt, Wagramer Straße",ESTINA Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/danubeview-familientraum-mit-hochwertiger-ausstattung-1273797313/,"Balkon, Loggia",73.0,3.0,2270.0
Wohnung in Sonnwendviertel,"1100 Wien, 10. Bezirk, Favoriten, Bloch Bauer Promenade",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/wohnung-in-sonnwendviertel-1482278698/,,44.0,2.0,950.0
HELLE BALKON-WOHNUNG NÄHE U4 UND LAINZER TIERGARTEN!,"1130 Wien, 13. Bezirk, Hietzing",Raiffeisen Immobilien Vermittlung Ges.m.b.H.,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/helle-balkon-wohnung-naehe-u4-und-lainzer-tiergarten-1422625920/,Balkon,54.0,2.0,1108.05
HELLE BALKON-WOHNUNG NÄHE U4 UND LAINZER TIERGARTEN!,"1130 Wien, 13. Bezirk, Hietzing",Raiffeisen Immobilien Vermittlung Ges.m.b.H.,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/helle-balkon-wohnung-naehe-u4-und-lainzer-tiergarten-1422625920/,Balkon,54.0,2.0,1108.05
LOFT-CITY 19th,"1190 Wien, 19. Bezirk, Döbling",Real-Treuhand Immobilien Vertriebs GmbH - WIEN,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/loft-city-19th-1173994114/,,56.0,2.0,1285.0
DACHGESCHOSSWOHNUNG  3 ZIMMER MIT HOCHWERTIGER EINBAUKÜCHE UND 2 TERRASSEN NAHE OBEREM MÜHLWASSER,"1220 Wien, 22. Bezirk, Donaustadt, Mühlhäufelweg 69",Glorit Bausysteme GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/dachgeschosswohnung-3-zimmer-mit-hochwertiger-einbaukueche-und-2-terrassen-nahe-oberem-muehlwasser-961179264/,"Terrasse, Garten",105.0,3.0,2990.0
WUNDERSCHÖNE 2 ZIMMER WOHNUNG - WG GEEIGNET - FRISCH RENOVIERT,"1100 Wien, 10. Bezirk, Favoriten",s REAL - Wien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/wunderschoene-2-zimmer-wohnung-wg-geeignet-frisch-renoviert-1655411982/,,72.0,2.0,998.24
Wunderschöner Neubau! Großzügiges Studio mit großem Balkon und offener Küche,"1050 Wien, 05. Bezirk, Margareten, Siebenbrunnengasse 21",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/wunderschoener-neubau-grosszuegiges-studio-mit-grossem-balkon-und-offener-kueche-978239373/,Balkon,38.0,2.0,950.0
U4 Pilgramgasse+ Garagenplatz: ideales Cityapartment,"1060 Wien, 06. Bezirk, Mariahilf",Rustler Immobilientreuhand GesmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/u4-pilgramgasse-garagenplatz-ideales-cityapartment-1574794554/,,36.0,1.0,688.5
"Traumlage bei Ubahn, Neubau 2 Zi top aufgeteilt, großer Balkon in ruhigem Innenhof, beste Anbindung","1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus, Hackengasse 30",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/traumlage-bei-ubahn-neubau-2-zi-top-aufgeteilt-grosser-balkon-in-ruhigem-innenhof-beste-anbindung-1818135242/,Balkon,36.0,2.0,950.0
360° TOUR // GENERALSANIERTE ALTBAU-ETAGE nahe SCHWARZENBERGPLATZ,"1040 Wien, 04. Bezirk, Wieden",KALANDRA Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/360-tour-generalsanierte-altbau-etage-nahe-schwarzenbergplatz-1795139797/,,186.0,5.0,3499.24
"Donaumarina, Bestlage Donau & Innenstadt, direkt an der U-Bahn, 2 Zimmer mit Fitness, Sauna, Loggia","1020 Wien, 02. Bezirk, Leopoldstadt, Wehlistraße 330/stiege 1",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1020-leopoldstadt/donaumarina-bestlage-donau-innenstadt-direkt-an-der-u-bahn-2-zimmer-mit-fitness-sauna-loggia-2091722339/,Balkon,48.0,2.0,1240.0
"Toplage zwischen Schönbrunn & Innenstadt, Neubau Erstbezug mit Terrasse, top ausgestattetes Studio","1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus, Mariahilfer Str. 219",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/toplage-zwischen-schoenbrunn-innenstadt-neubau-erstbezug-mit-terrasse-top-ausgestattetes-studio-1955994085/,Balkon,30.0,1.0,910.0
ERSTBEZUG mit Altbau-Flair und elegantem Dachgeschoß-Ausbau! Ab sofort bezugsfertig !,"1050 Wien, 05. Bezirk, Margareten, Hartmanngasse 13",ViennaEstate Makler GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/erstbezug-mit-altbau-flair-und-elegantem-dachgeschoss-ausbau-ab-sofort-bezugsfertig-1247969512/,"Terrasse, Balkon",131.0,4.0,3188.99
"Bestlage im 5. Bezirk, ruhige Straße, nahe Hauptbahnhof, saniert und gepflegt","1050 Wien, 05. Bezirk, Margareten, Gassergasse 34",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/bestlage-im-5-bezirk-ruhige-strasse-nahe-hauptbahnhof-saniert-und-gepflegt-1294447638/,,57.0,2.0,1100.0
The Metropolitan - Modernes Apartment in 19. Etage,"1100 Wien, 10. Bezirk, Favoriten, Karl-Popper-Straße 5",eugen GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/the-metropolitan-modernes-apartment-in-19-etage-1333745786/,"Balkon, Dachterrasse",45.0,1.0,999.0
Terrassenzauber-Wohnen mit Stil und Aussicht beim Mortarapark,"1200 Wien, 20. Bezirk, Brigittenau",Arthur Real GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1200-brigittenau/terrassenzauber-wohnen-mit-stil-und-aussicht-beim-mortarapark-1464918670/,Terrasse,46.0,2.0,996.0
Provisionsfreie elegante Wohnung mit perfekter Aufteilung und Freifläche,"1210 Wien, 21. Bezirk, Floridsdorf, Stammersdorfer Straße",ESTINA Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/provisionsfreie-elegante-wohnung-mit-perfekter-aufteilung-und-freiflaeche-760605230/,Terrasse,102.0,3.0,1699.0
Provisionsfreie elegante Wohnung mit perfekter Aufteilung und Freifläche,"1210 Wien, 21. Bezirk, Floridsdorf, Stammersdorfer Straße",ESTINA Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/provisionsfreie-elegante-wohnung-mit-perfekter-aufteilung-und-freiflaeche-760605230/,Terrasse,102.0,3.0,1699.0
"Helle, gemütliche 4-Zimmer-Dachgeschosswohnung in ruhiger Lage zwischen Wasserpark und Floridsdorfer Aupark","1210 Wien, 21. Bezirk, Floridsdorf",AXIOM Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/helle-gemuetliche-4-zimmer-dachgeschosswohnung-in-ruhiger-lage-zwischen-wasserpark-und-floridsdorfer-aupark-1626995140/,Terrasse,91.0,4.0,1948.58
3-Zimmer-Wohnung mit Balkon,"1210 Wien, 21. Bezirk, Floridsdorf",AXIOM Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/3-zimmer-wohnung-mit-balkon-1155449297/,Balkon,71.0,3.0,1319.4
Großzügige 3-Zimmer Wohnung mit Balkon im 10. Bezirk,"1100 Wien, 10. Bezirk, Favoriten",Boom Living GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/grosszuegige-3-zimmer-wohnung-mit-balkon-im-10-bezirk-1127832482/,Balkon,74.0,3.0,1300.0
BELVIEW - HIER WIRD WOHNEN NEU DEFINIERT! - MIT TRAUM-AUSSICHTEN AUF DIE GESAMTE CITY!,"1100 Wien, 10. Bezirk, Favoriten, Arsenalstraße 8",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/belview-hier-wird-wohnen-neu-definiert-mit-traum-aussichten-auf-die-gesamte-city-1098391140/,"Balkon, Loggia",70.0,3.0,1484.26
"Traumblick über Wien, BelMain Tower mit Gym, Wellness & Lounge, 2 Zimmer + Balkon, 9. Stock, U-Bahn","1100 Wien, 10. Bezirk, Favoriten, Canettistraße 1",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/traumblick-ueber-wien-belmain-tower-mit-gym-wellness-lounge-2-zimmer-balkon-9-stock-u-bahn-1737887892/,Balkon,57.0,2.0,1140.0
Hochwertige Singlewohnung mit Blick auf die Donau - Nähe U-Bahn Station Kaisermühlen,"1220 Wien, 22. Bezirk, Donaustadt, Wagramer Straße",ESTINA Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/hochwertige-singlewohnung-mit-blick-auf-die-donau-naehe-u-bahn-station-kaisermuehlen-1729815201/,Loggia,34.0,1.0,850.0
"Basler Gasse 65, 1230 Wien - Parkplätze","1230 Wien, 23. Bezirk, Liesing, Basler Gasse 65",Haring Immobilien Treuhand GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/basler-gasse-65-1230-wien-parkplaetze-556819176/,,,,
ERSTBEZUG! 3-ZIMMER-WOHNUNG MIT GARTEN UND TERRASSE - NUR 500 m ZUM OBEREN MÜHLWASSER!,"1220 Wien, 22. Bezirk, Donaustadt, Mühlhäufelweg 69",Glorit Bausysteme GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/erstbezug-3-zimmer-wohnung-mit-garten-und-terrasse-nur-500-m-zum-oberen-muehlwasser-2022652127/,"Terrasse, Garten",91.0,3.0,2490.0
Erstbezug & Top ausgestattet! | Neubauwohnung inkl. Beschattung & Küche | Nähe Kirschblütenpark,"1220 Wien, 22. Bezirk, Donaustadt, Arakawastraße 3 / Tokiostraße 5A 3 / 5A",Raiffeisen Vorsorge Wohnung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/erstbezug-top-ausgestattet-neubauwohnung-inkl-beschattung-kueche-naehe-kirschbluetenpark-1197338186/,,40.0,,
Großzügige Erdgeschosswohnung mit Garten!,"1100 Wien, 10. Bezirk, Favoriten, Bloch Bauer Promenade",EHL Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/grosszuegige-erdgeschosswohnung-mit-garten-779127864/,"Terrasse, Loggia, Garten",89.0,4.0,1840.34
ERSTBEZUG | Traumhafte 3-Zimmer Gartenwohnung in Hofruhelage,"1170 Wien, 17. Bezirk, Hernals",EDEX Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/erstbezug-traumhafte-3-zimmer-gartenwohnung-in-hofruhelage-2065837764/,"Terrasse, Balkon, Loggia, Garten",68.0,3.0,1499.0
"Altbautraum in Gehweite zu Prater Hauptalle, U-bahn U3 & Donaukanal, geräumige 3 Zi, top Anbindung","1030 Wien, 03. Bezirk, Landstraße, Address Dietrichgasse 16",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/altbautraum-in-gehweite-zu-prater-hauptalle-u-bahn-u3-donaukanal-geraeumige-3-zi-top-anbindung-1089282871/,Balkon,75.0,3.0,1330.0
"Metro U2 Rathaus, Rathausplatz, busses and trams, best restaurants, bars, cafes, Volksgarten Park, City Hall Park, etc","1080 Wien, 08. Bezirk, Josefstadt, Address Josefstädter Str. 5",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1080-josefstadt/metro-u2-rathaus-rathausplatz-busses-and-trams-best-restaurants-bars-cafes-volksgarten-park-city-hall-park-etc-1676661510/,Balkon,140.0,3.0,3270.0
BELVIEW - HIER WIRD WOHNEN NEU DEFINIERT! - MIT TRAUM-AUSSICHTEN AUF DIE GESAMTE CITY!,"1100 Wien, 10. Bezirk, Favoriten, Arsenalstraße 8",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/belview-hier-wird-wohnen-neu-definiert-mit-traum-aussichten-auf-die-gesamte-city-1262753059/,"Balkon, Loggia",50.0,2.0,1099.07
BELVIEW - HIER WIRD WOHNEN NEU DEFINIERT! - MIT TRAUM-AUSSICHTEN AUF DIE GESAMTE CITY!,"1100 Wien, 10. Bezirk, Favoriten, Arsenalstraße 8",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/belview-hier-wird-wohnen-neu-definiert-mit-traum-aussichten-auf-die-gesamte-city-1146680283/,"Balkon, Loggia",50.0,2.0,1182.19
BELVIEW - HIER WIRD WOHNEN NEU DEFINIERT! - MIT TRAUM-AUSSICHTEN AUF DIE GESAMTE CITY!,"1100 Wien, 10. Bezirk, Favoriten, Arsenalstraße 8",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/belview-hier-wird-wohnen-neu-definiert-mit-traum-aussichten-auf-die-gesamte-city-1628137322/,"Balkon, Loggia",51.0,2.0,972.21
"EXCLUSIVE LIVING Pappelweg 16: GROßZÜGIGE FREIFLÄCHEN, LUXUS-AUSSTATTUNG, TOP LAGE!","1220 Wien, 22. Bezirk, Donaustadt",J&H Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/exclusive-living-pappelweg-16-grosszuegige-freiflaechen-luxus-ausstattung-top-lage-1707579151/,"Terrasse, Garten",55.0,2.0,1117.6
Moderne Neubauwohnung mit großem Balkon und Abstellraum nahe U1 Kagraner Platz - im neuen Wohnviertel Am Langen Felde,"1220 Wien, 22. Bezirk, Donaustadt, Bertha-von-Suttner-Gasse 10a-12a",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/moderne-neubauwohnung-mit-grossem-balkon-und-abstellraum-nahe-u1-kagraner-platz-im-neuen-wohnviertel-am-langen-felde-1525691315/,Balkon,42.0,2.0,829.01
"EXCLUSIVE LIVING Pappelweg 16: GROßZÜGIGE FREIFLÄCHEN, LUXUS-AUSSTATTUNG, TOP LAGE!","1220 Wien, 22. Bezirk, Donaustadt",J&H Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/exclusive-living-pappelweg-16-grosszuegige-freiflaechen-luxus-ausstattung-top-lage-1051453221/,"Terrasse, Balkon",58.0,2.0,1466.3
"COMING SOON!!! Top moderne, neuwertige Mietwohnung mit 13m² Balkon in U4-Nähe","1050 Wien, 05. Bezirk, Margareten",Hubner Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/coming-soon-top-moderne-neuwertige-mietwohnung-mit-13m-balkon-in-u4-naehe-835744634/,Balkon,71.0,3.0,1649.0
COMING SOON!!! DG-Terrassen-Traum mit 11m² Terrasse und Weitblick,"1050 Wien, 05. Bezirk, Margareten",Hubner Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/coming-soon-dg-terrassen-traum-mit-11m-terrasse-und-weitblick-1926802485/,Terrasse,45.0,2.0,1080.0
"möbliertes Zimmer, ruhig, Nähe U6 Alterlaa","1230 Wien, 23. Bezirk, Liesing",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/moebliertes-zimmer-ruhig-naehe-u6-alterlaa-1720693482/,,16.0,,380.0
Großartig geschnittene 2-Zimmer-Wohnung - nah zum Milleniumstower!,"1200 Wien, 20. Bezirk, Brigittenau, Salzachstraße 40",IMV Makler GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1200-brigittenau/grossartig-geschnittene-2-zimmer-wohnung-nah-zum-milleniumstower-1473025985/,,58.0,2.0,861.82
"""Über den Linden"" - Exklusive 2-Zimmer-Loggiawohnung mit vielen Highlights!","1070 Wien, 07. Bezirk, Neubau, Lindengasse 48",IMV Makler GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/-ueber-den-linden-exklusive-2-zimmer-loggiawohnung-mit-vielen-highlights-1289482121/,Loggia,54.0,2.0,1383.31
"""Über den Linden"" - Exklusive 2-Zimmer-Loggiawohnung mit vielen Highlights!","1070 Wien, 07. Bezirk, Neubau, Lindengasse 48",IMV Makler GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/-ueber-den-linden-exklusive-2-zimmer-loggiawohnung-mit-vielen-highlights-1289482121/,Loggia,54.0,2.0,1383.31
Mit der Zahnbürste ins City-Apartment!,"1120 Wien, 12. Bezirk, Meidling, Flurschützstraße 28/18",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/mit-der-zahnbuerste-ins-city-apartment-1059311757/,,30.0,1.0,1100.0
Bei Westbahnhof RefugeHome/ Pendlerzimmer/ Notunterkunft/1Monat Kaution,"1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus, Zinckgasse 20",Gewerblicher Anbieter,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/bei-westbahnhof-refugehome-pendlerzimmer-notunterkunft-1monat-kaution-2004966587/,,15.0,,550.0
Einzigartige 1-Zimmer-Wohnung mit 15 m² Terrasse | Perfektastraße 11 | Top 96,"1230 Wien, 23. Bezirk, Liesing",EKAZENT Management GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/einzigartige-1-zimmer-wohnung-mit-15-m-terrasse-perfektastrasse-11-top-96-1667916541/,Terrasse,30.0,1.0,799.0
Moderne Neubauwohnungen nahe U1 Kagraner Platz - Aufstrebendes Wohnviertel,"1220 Wien, 22. Bezirk, Donaustadt, Bertha-von-Suttner-Gasse 10a-12a",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/moderne-neubauwohnungen-nahe-u1-kagraner-platz-aufstrebendes-wohnviertel-1486187151/,"Balkon, Loggia, Garten",48.0,2.0,879.0
Sanierte 4-Zimmer Loggia-Wohnung (WG-Eignung) in zentraler Lage,"1050 Wien, 05. Bezirk, Margareten, Sankt-Johann-Gasse",DFi - Immobilientreuhand & Financial Consulting GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/sanierte-4-zimmer-loggia-wohnung-wg-eignung-in-zentraler-lage-1472616648/,Loggia,97.0,4.0,1400.0
"Bestlage Innere Stadt, Stilaltbau 2 min vom Stephansplatz & Kohlmarkt, beste Anbindung: U1,U2,U3,U4","1010 Wien, 01. Bezirk, Innere Stadt, Salvatorgasse 12",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/bestlage-innere-stadt-stilaltbau-2-min-vom-stephansplatz-kohlmarkt-beste-anbindung-u1-u2-u3-u4-1572113681/,,40.0,1.0,1370.0
Traumhafte 3 - Zimmer - Altbauwohnung | | mit Balkon & Gemeinschaftsdachterrasse,"1120 Wien, 12. Bezirk, Meidling",Immoeko,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/traumhafte-3-zimmer-altbauwohnung-mit-balkon-gemeinschaftsdachterrasse-1900820916/,"Balkon, Dachterrasse",88.0,3.0,1150.01
1040 Gußhausviertel: Exklusive Dachgeschoß Wohnung 157m² mit Terrasse und Kamin zu vermieten,"1040 Wien, 04. Bezirk, Wieden, Gußhausstraße 18",Elsässer Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/1040-gusshausviertel-exklusive-dachgeschoss-wohnung-157m-mit-terrasse-und-kamin-zu-vermieten-931612347/,,153.0,,3626.73
Dachterassenwohnung Altes Landgut,"1100 Wien, 10. Bezirk, Favoriten, Nähe altes Landgut",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/dachterassenwohnung-altes-landgut-955679126/,Dachterrasse,83.0,3.0,1500.0
Dachterassenwohnung Altes Landgut,"1100 Wien, 10. Bezirk, Favoriten, Nähe altes Landgut",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/dachterassenwohnung-altes-landgut-955679126/,Dachterrasse,83.0,3.0,1500.0
(reserviert) 56 m² Wohnung mit kleinem Balkon in Wien 14. Bezirk,"1140 Wien, 14. Bezirk, Penzing",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/56-m-wohnung-mit-kleinem-balkon-in-wien-14-bezirk-901282227/,Balkon,56.0,1.0,
Möblierte 2-Zimmer Wohnung mit großem Balkon in der Josefstadt,"1080 Wien, 08. Bezirk, Josefstadt, Josefstädterstraße",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1080-josefstadt/moeblierte-2-zimmer-wohnung-mit-grossem-balkon-in-der-josefstadt-1925992982/,Balkon,60.0,2.0,1200.0
